Method;Unit;Sample 1;Sample 2;Sample 3;Sample 4;Sample 5;Sample 6;Sample 7;Sample 8;Sample 9;Sample 10;Sample 11
Dissolved manganese;mg Mn/L;0.03;0.03;0.03;0.05;0.03;0.03;0.03;0.03;0.03;0.03;0.03
Total manganese;mg Mn/L;0.03;0.07;0.09;0.18;0.11;0.03;0.08;0.03;0.07;0.07;0.09
Total mercury;mg Hg/L;0.0002;0.0002;0.0002;0.0002;0.0002;0.0002;0.0002;0.0002;0.0002;0.0002;0.0002
Dissolved molybdenum;mg Mo/L;0.07;0.07;0.07;0.07;0.07;0.07;0.07;0.07;0.07;0.07;0.07
Total molybdenum;mg Mo/L;0.07;0.07;0.07;0.07;0.07;0.07;0.07;0.07;0.07;0.07;0.07
Dissolvido nickel;mg Ni/L;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01
Total nickel;mg Ni/L;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01
Organic nitrogen;mg N/L;0.22;0.06;0.10;0.12;0.25;0.14;0.36;0.21;0.21;0.24;0.47
Nitrate (N);mg N_NO3/L;0.08;0.13;0.06;0.08;0.06;0.03;0.06;0.03;0.04;0.04;0.03
Nitrite (N);mg N_NO2/L;0.02;0.02;0.02;0.02;0.02;0.01;0.02;0.02;0.02;0.02;0.01
Albuminoid nitrogen;mg N/L;0.05;0.32;0.14;0.05;0.05;0.10;0.15;0.06;0.05;0.05;0.09
Ammonia nitrogen;mg N_NH3/L;0.14;0.16;0.09;0.06;0.08;0.04;0.05;0.02;0.04;0.07;0.08
Kjeldahl Nitrogen;mg N/L;0.4;0.2;0.2;0.2;0.3;0.2;0.4;0.2;0.3;0.3;0.5
Total nitrogen;mg N/L;0.5;0.4;0.3;0.3;0.4;0.2;0.5;0.3;0.3;0.4;0.6
Total oils and greases;mg/L;1;1;1;1;1;1;1;1;1;1;1
Orthophosphate;mg PO4-3/L;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03
Dissolved oxygen;mg O2/L;7.88;8.06;9.24;8.81;8.93;9.32;8.73;8.86;8.40;8.30;8.15
pH;NOUNIT;4.68;6.39;6.40;6.16;6.42;6.34;6.48;6.33;6.25;6.53;6.56
Dissolved potassium;mg K/L;0.22;0.65;0.43;0.77;0.58;0.57;0.59;0.84;0.55;0.50;0.59
Total potassium;mg K/L;0.22;1.05;0.99;1.86;1.45;0.74;1.27;0.95;1.18;1.14;1.19
Redox potencial;mV;552.6;274.9;210.4;210;197.3;196.3;206.2;191;201.2;197.8;206.2
Dissolved silver;mg Ag/L;0.003;0.003;0.003;0.003;0.003;0.003;0.003;0.003;0.003;0.003;0.003
Total silver;mg Ag/L;0.003;0.003;0.003;0.003;0.003;0.003;0.003;0.003;0.003;0.003;0.003
Dissolved sodium;mg Na/L;0.48;2.47;1.80;1.06;1.64;0.90;1.57;1.42;1.35;1.51;1.48
Total sodium;mg Na/L;0.37;2.47;2.04;1.17;1.81;0.90;1.69;1.51;1.41;1.61;1.57
Total dissolved solids;mg SDT/L;20;52.0;43.5;29.0;62.5;23.0;179;20;43.0;40.5;50.0
Settleable solids;ml/L;0.3;2.00;0.50;0.30;0.30;0.3;0.3;0.3;0.3;0.3;0.3
Total suspended solids;mg SST/L;10;131;106;203;166;10;168;388;96.0;103;106
Total solids;mg/L;29.0;190;132;285;217;27.0;334;34.0;126;151;141
Total solids ST;mg ST/L;20;183;149;232;229;31.0;347;407;139;40.0;156
Total fixed solids;mg/L;20;125;114;198;152;20;148;20;82.0;98.0;112
Total Volatile Solids;mg/L;20;65.5;20;88.0;65.0;22.0;186;30.0;44.0;53.0;29.5
Sulfate SO4;mg SO4/L;2.02;3.98;3.34;3.38;3.53;2.09;3.49;1.68;2.85;2.78;2.73
Sulfate S2;mg S2-/L;0.003;0.002;0.002;0.016;0.002;0.002;0.008;0.002;0.004;0.008;0.004
Sulfite;mg SO3/L;2;2;2;2;2;2;2;2;2;2;2
Anionic surfactants;mg MBAS/L;0.1;0.1;0.1;0.1;0.19;0.1;0.1;0.1;0.1;0.18;0.1
Dissolved tellurium;mg Te/L;0.1;0.1;0.1;0.13;0.1;0.1;0.13;0.1;0.1;0.1;0.1
Total tellurium;mg Te/L;0.1;0.13;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1
Dissolved titanium;mg Ti/L;0.005;0.010;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005
Total titanium;mg Ti/L;0.005;0.041;0.071;0.078;0.084;0.005;0.063;0.005;0.055;0.078;0.071
Dissolved thorium;mg Th/L;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05
Total thorium;mg Th/L;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05
Dissolved tungsten;mg W/L;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05
Total tungsten;mg W/L;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05
Turbidity;NTU;2.93;160;142;269;228;11.0;173;6.97;125;132;133
Dissolved uranium;mg U/L;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01
Total uranium;mg U/L;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01
Dissolved vanadium;mg V/L;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01
Total vanadium;mg V/L;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01
Dissolved yttrium;mg Y/L;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03
Total yttrium;mg Y/L;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03
Dissolved zinc;mg Zn/L;0.010;0.010;0.005;0.005;0.005;0.010;0.005;0.005;0.005;0.005;0.005
Total zinc;mg Zn/L;0.008;0.019;0.089;0.058;0.024;0.022;0.036;0.016;0.029;0.036;0.022
Dissolved zirconium;mg Zr/L;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05
Total zirconium;mg Zr/L;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05
